Module,Epic,Story,Task,Sub-Task,Component,Dependencies,Story_Points,Sprint,Phase,Priority,Acceptance_Criteria,Notes,Meeting_Traceability
Mobile Field App,Lead Workflow,Make assigned leads actionable from the field,Build mobile lead inbox and lead detail workflow,"Show assigned leads, SLA countdown, first-contact context, and discovery scheduling entry points from mobile",Mobile Lead Workspace,"Lead routing, notification engine, and mobile foundation",8,Sprint 16,Phase 4 - Field Operations & Asset Delivery,P0,"TM can open an assigned lead, review context, log outreach, and schedule discovery from mobile without desktop fallback",Moved after lead-routing and alert-foundation work so the mobile lead inbox follows the actual workflow dependency chain. | Legacy Sprint Bucket: M-Seq 03,Session 1; Session 2; Session 12 (Mar 24)
Mobile Field App,Mobile Foundation,Build a reliable and adoptable mobile platform,Build push notification receipt and user preferences,"Receive real-time alerts on mobile: new lead assigned, consignment audit due, training overdue, credit hold; user preference panel for alert type and quiet hours",Push Notifications,Notification engine (INT-020) and mobile API,8,Sprint 17,Phase 4 - Field Operations & Asset Delivery,P0,Lead arrival alert delivered to TM mobile within 30 seconds; preferences panel controls alert scope,Moved behind the shared alert-engine foundation so mobile push delivery does not outrun notification readiness. | Legacy Sprint Bucket: M-Seq 03,Session 1
Mobile Field App,Consignment Operations,Support consignment workflows from the field,Build mobile consignment audit flow,Step-through guided audit: baseline inventory shown per SKU → TM enters physical counts → CRM auto-compares → variance highlighted → TM confirms or flags → digital sign-off,Mobile Audit,Consignment module and Acumatica sync,13,Sprint 17,Phase 4 - Field Operations & Asset Delivery,P0,TM completes full audit submission from mobile without paper form; auto-comparison fires within 10 seconds of submission,Sessions 5-6: 90-day field audit is TM's primary consignment task; must be fully mobile-native. | Legacy Sprint Bucket: M-Seq 03,
Mobile Field App,Consignment Operations,Support consignment workflows from the field,Build mobile consignment site dashboard,"Per-TM list: all consignment sites, last audit date, next audit due date, current balance estimate, outstanding variances; offline-capable view",Mobile Dashboard,Consignment site master and mobile offline,5,Sprint 17,Phase 4 - Field Operations & Asset Delivery,P0,TM sees all assigned consignment sites with correct audit status offline; data syncs on reconnect,CG: TM must not navigate multiple screens to find consignment status. | Legacy Sprint Bucket: M-Seq 03,
Mobile Field App,Consignment Operations,Support consignment workflows from the field,Build mobile signature capture,"TM digital signature on consignment reconciliation form, inventory adjustment, and audit sign-off; securely stored; linked to audit record in CRM; legally admissible",Signature,Mobile audit flow and document model,5,Sprint 17,Phase 4 - Field Operations & Asset Delivery,P0,Signature captured and stored on form submission; linked to audit record; visible in CRM web view,Samantha Marks: customer and TM sign-off on physical forms; digital signature must replace this. | Legacy Sprint Bucket: M-Seq 03,
Mobile Field App,Consignment Operations,Support consignment workflows from the field,Build mobile photo upload for consignment audit,"Camera integration: TM photographs inventory items, damage, or discrepancies during audit; photos attached to audit record with GPS timestamp; viewable in CRM",Photo Upload,Mobile audit flow and document model,5,Sprint 17,Phase 4 - Field Operations & Asset Delivery,P0,Photos attached to audit within 30 seconds of capture; visible on audit record in CRM web and mobile,Session 6: Physical audit evidence required; photo upload replaces paper attachment to reconciliation form. | Legacy Sprint Bucket: M-Seq 03,Session 6
Mobile Field App,Field Navigation,Preserve Map My Customer replacement behaviors,"Build mobile deep-link and context routing from alerts, leads, map, and consignment tasks","Open the exact lead, account, route, audit, or training context from notifications and field shortcuts instead of generic landing screens",Mobile Context Routing,"Notification engine, route planner, and mobile navigation shell",5,Sprint 17,Phase 4 - Field Operations & Asset Delivery,P0,Mobile alerts and quick actions launch users into the correct working context with no extra navigation hunting,Directly supports the field-first adoption feedback and deep-link expectations from the meetings. | Legacy Sprint Bucket: M-Seq 03,Session 1; Session 12 (Mar 24)
Mobile Field App,Field Scheduling,Keep the field team organised and on-time,"Integrate Outlook calendar sync for training, audits, and follow-up events","Create, confirm, and reschedule field events from mobile; sync to Outlook and CRM calendars with attendee confirmation and conflict/status feedback.",Outlook Calendar Sync,Training module and Outlook calendar sync (INT-009),5,Sprint 17,Phase 4 - Field Operations & Asset Delivery,P0,Field-created events appear in CRM and Outlook within 60 seconds with attendee and status updates,Session 1: CG confirmed TMs schedule training in the field; must work without desktop access. | Legacy Sprint Bucket: M-Seq 03,Session 1
Mobile Field App,Field Scheduling,Keep the field team organised and on-time,Send confirmation emails and log Outlook-linked scheduling activity in CRM,"Issue event confirmations, reschedules, and reminders through the approved email channel and store the linked scheduling activity on the account timeline.",Email Confirmation,Training module and Outlook calendar sync (INT-009),3,Sprint 17,Phase 4 - Field Operations & Asset Delivery,P0,Scheduling emails are issued and linked back to the correct account and event timeline,Makes the email plus Outlook handoff explicit for field scheduling. | Legacy Sprint Bucket: M-Seq 03,Session 1; Session 9 (Mar 13); Session 10 (Mar 17)
Mobile Field App,Visit Capture,Enforce visit workflow with geofencing,Build 100m geofencing with mandatory check-out workflow,GPS check-in requires 100m proximity; check-out requires activity type and core notes before next stop can start; log geofence violations,Visit Logging,Mobile customer workspace and GPS services,5,Sprint 17,Phase 4 - Field Operations & Asset Delivery,P0,Check-in blocked outside 100m radius with clear message; check-out requires minimum fields; geofence events logged,Addresses Mobile PRD geofencing and mandatory check-out requirements. | Legacy Sprint Bucket: M-Seq 03,
"QA, UAT, Rollout & Adoption",Release & Stabilization,M-Seq 03 - Release Buffer,"UAT, bug fixes, deployment, stabilization",,Testing & Release,M-Seq 03 features complete,8,Sprint 17,Phase 4 - Field Operations & Asset Delivery,P0,"All critical bugs fixed, UAT passed, production stable for 5 days",Post-release buffer (~15% of M-Seq 03) | Legacy Sprint Bucket: M-Seq 03-Buffer,
Acumatica Integration & Data Migration,Legacy CRM Migration,Preserve operational history,"Migrate lead, account, contact, activity, and lead-source attribution data from Dynamics CRM and related spreadsheets","Normalize duplicates, statuses, and attribution history from Dynamics, HubSpot exports, and manual lead sheets.",Migration,Canonical data model,13,Sprint 18,Phase 4 - Field Operations & Asset Delivery,P0,Core CRM history and lead-source attribution are loaded and mapped to the new model.,MIG-008 / MIG-009 | Release 3 history migration | Legacy Sprint Bucket: Seq 05,Post-discovery migration alignment (2026-03-31)
Acumatica Integration & Data Migration,Transaction Sync,Expose order and finance history,"Bootstrap recent orders, invoices, shipments, statements, and payment status into CRM and dealer views",Load recent transaction history from Acumatica for pilot accounts and then keep it current with governed ongoing sync.,Transaction Sync,Integration blueprint and dealer account center,13,Sprint 18,Phase 4 - Field Operations & Asset Delivery,P0,Recent order and finance history is bootstrapped and ongoing ERP updates keep it current.,MIG-013 | Release 3 transaction bootstrap | Legacy Sprint Bucket: Seq 05,Post-discovery migration alignment (2026-03-31)
"Communication, Notifications & Alerts",Credit & Collections Alerts,Make financial blockers visible,"Notify on credit approvals, credit holds, invoice aging, and past-due status",Mirror the right signals to internal teams and dealers,Notification Engine,Financial sync and dealer account center,8,Sprint 18,Phase 4 - Field Operations & Asset Delivery,P0,Credit and aging events create actionable alerts,Legacy Sprint Bucket: Seq 05,
Lead Capture & Lead Management,Lead Conversion,Turn qualified prospects into customers,Trigger customer creation on first order with onboarding handoff,Preserve lead history after graduation,Conversion Workflow,Customer model and integration blueprint,8,Sprint 18,Phase 4 - Field Operations & Asset Delivery,P0,Qualified leads become active customers without duplicate entry,Legacy Sprint Bucket: Seq 05,
Dealer Portal Replacement for Shopify,Dealer Credit & Collections,Reflect financial constraints,Block ordering for credit-hold accounts and surface aging alerts,Mirror financial status from ERP without manual workarounds,Dealer Account Center,Financial sync and alert engine,8,Sprint 18,Phase 4 - Field Operations & Asset Delivery,P0,Credit holds and overdue balances are visible and enforceable,Legacy Sprint Bucket: Seq 05,
Dealer Portal Replacement for Shopify,Dealer Visibility,Give companies shared operational visibility,"Show company-wide orders, invoices, statements, shipments, and payments",Eliminate contact-level blind spots from Shopify,Dealer Account Center,Dealer identity and transaction sync,13,Sprint 18,Phase 4 - Field Operations & Asset Delivery,P0,Authorized contacts can see company activity across all orders,Legacy Sprint Bucket: Seq 05,
Dealer Portal Replacement for Shopify,Dealer Visibility,Give dealers self-service access to invoices,Enable invoice PDF download from dealer portal,Link dealer invoice view to Acumatica invoice documents; generate downloadable PDF per invoice; cover last 24 months of invoice history,Dealer Account Center,ERP financial visibility sync (INT-005),5,Sprint 18,Phase 4 - Field Operations & Asset Delivery,P0,Invoice PDF available within 15 minutes of Acumatica creation; all invoices for last 24 months accessible and downloadable,Addresses Dealer Portal PRD financial visibility gap. | Legacy Sprint Bucket: Seq 05,Session 7
Dealer Portal Replacement for Shopify,Checkout Governance,Keep portal ordering aligned with finance and account policy,Enforce billing-address governance and implement regional payment gateway routing,Lock or route billing-address edits appropriately; apply the approved US/CA payment gateway path at launch; surface fallback instructions when a requested payment flow is out of scope.,Checkout Governance,Authenticate dealer users at the customer-account level and Build credit card tokenization workflow,5,Sprint 19,Phase 4 - Field Operations & Asset Delivery,P0,"Dealers can place orders only within approved billing and regional payment rules, and unsupported launch-time payment changes route to the right internal process",Makes the launch-time payment gateway pattern explicit before portal ordering widens. | Legacy Sprint Bucket: Seq 05,Session 7 (Mar 2); Session 11 (Mar 19)
Product Management & Dealer Catalog Governance,Account Context,Use the same dealer context across portal and product management,Resolve dealer group from live account setup,"Use account setup, affinity group, ownership overlay, and region at login and back-office review time",Dealer Context Service,Dealer identity and customer account model,8,Sprint 19,Phase 4 - Field Operations & Asset Delivery,P0,Dealer portal and Product Management resolve the same dealer group for the same account,Stops demo-only seeded groups from drifting away from production account setup. | Legacy Sprint Bucket: Seq 05,Session 11 (Mar 19)
Product Management & Dealer Catalog Governance,File Governance,Attach the right branded files to each dealer group,"Link migrated images, brochures, spec sheets, and install guides","Build product-to-asset linkage from curated Widen and Dropbox files by SKU, dealer group, region, and brand, and warn on mismatches.",Product File Linking,Asset repository and dealer group resolver,8,Sprint 19,Phase 4 - Field Operations & Asset Delivery,P0,Users see correct branded files for the selected dealer group and must review mismatches before share or export,MIG-021 | Release 3 product-to-asset migration | Legacy Sprint Bucket: Seq 05,Post-discovery migration alignment (2026-03-31)
Product Management & Dealer Catalog Governance,Go-Live Control,Make dealer catalog releases safe,Run dealer-group go-live checks,"Confirm products, files, dealer-group rules, and Canada variants are complete before portal visibility",Go-Live Checklist,Group-first workflow and product file linking,5,Sprint 19,Phase 4 - Field Operations & Asset Delivery,P0,Dealer groups can only be marked live when required business checks pass,This is the business-ready check before products appear in dealer portal. | Legacy Sprint Bucket: Seq 05,Session 11 (Mar 19)
Product Management & Dealer Catalog Governance,Go-Live Control,Prevent incomplete products from reaching dealers,Build 12-point publish validation rule engine,"8 blockers (active in ERP, title, description, primary image, spec sheet, pricing, catalog assigned, region visibility) + 4 warnings (install guide, brand cross-check, price class coverage, category); block publish on blocker failure",Go-Live Checklist,Product workspace and file linking,5,Sprint 19,Phase 4 - Field Operations & Asset Delivery,P0,Products missing any of 8 blocker fields cannot be published; 4 warning fields generate review prompt but allow override,Addresses PRD Supplement Part B publish validation checklist. | Legacy Sprint Bucket: Seq 05,
Pricing & ERP-Dependent Commercial Rules,Checkout Resolution,Handle pricing exceptions safely at the point of order,"Build price-not-found, stale-price, and conflicting-price-class resolution workflow","Detect checkout price exceptions, stop unsafe orders, show clear dealer/internal messaging, and route manual review where needed",Pricing Exception Handling,"Resolve price class, customer class, and discount tier at login and checkout",5,Sprint 19,Phase 4 - Field Operations & Asset Delivery,P0,Orders with unresolved pricing cannot submit silently; users receive deterministic resolution path with audit trail,Closes the gap around price exception handling at checkout. | Legacy Sprint Bucket: Seq 05,Session 7 (Mar 2); Session 8; Session 11 (Mar 19)
Pricing & ERP-Dependent Commercial Rules,Pricing Governance,Preserve price history and override accountability,"Build effective-dated price history, override audit, and publish accountability","Track who changed what, when it takes effect, what dealer groups/accounts are impacted, and which published version is live",Pricing History,"Manage price books, tiers, and account pricing rules in a controlled admin workflow and Sync approved price changes to dealer experiences on a controlled schedule",8,Sprint 19,Phase 4 - Field Operations & Asset Delivery,P0,"Teams can trace any live dealer price back to approved source, effective date, and change owner",Makes pricing publish auditable without moving core calculation out of ERP. | Legacy Sprint Bucket: Seq 05,Session 7 (Mar 2); Session 8; Session 11 (Mar 19)
Digital Assets & Document Handling,Asset Serving,Make product and dealer assets usable without Widen or Dropbox hunts,Migrate curated Widen and Dropbox assets into the Pulse asset library,"Import approved dealer-safe files, metadata, and stable asset IDs from Widen and Dropbox for product, dealer, and mobile use.",Asset Migration,Asset repository and dealer group resolver,5,Sprint 19,Phase 4 - Field Operations & Asset Delivery,P0,"Approved Widen/Dropbox assets are migrated, searchable, and linked to the right dealer and product contexts",MIG-017 | Bounded Widen replacement for the in-scope product/dealer workflow only. | Legacy Sprint Bucket: Seq 05,Session 11 (Mar 19); Session 12 (Mar 24); Post-discovery migration alignment (2026-03-31)
Digital Assets & Document Handling,Asset Serving,Make product and dealer assets usable without Widen or Dropbox hunts,Configure AWS S3 + CloudFront signed delivery for approved digital assets,"Store approved asset binaries in private S3 buckets, deliver through CloudFront signed URLs, and support cache invalidation for updated files.",Object Storage & CDN,Asset repository and dealer group resolver and Migrate curated Widen and Dropbox assets into the Pulse asset library,3,Sprint 19,Phase 4 - Field Operations & Asset Delivery,P0,Authorized users can preview and share approved files through signed CloudFront links backed by S3 without exposing the bucket directly,Workbook planning assumes AWS S3 + CloudFront; architecture still allows Azure equivalent if hosting standard changes. | Legacy Sprint Bucket: Seq 05,Discovery Session 1; Session 12 (Mar 24); Architecture alignment (Apr 1)
Digital Assets & Document Handling,Asset Workflow,Govern file uploads and approvals,"Build upload, version, and approval workflow for product and dealer files","Capture uploader, version, approval status, effective date, superseded file, and wrong-brand warning before share/export",Asset Workflow,Asset repository and access control,8,Sprint 19,Phase 4 - Field Operations & Asset Delivery,P0,Only approved asset versions are shareable to dealers and internal users can trace version history,Closes the current prototype gap around durable upload/version governance. | Legacy Sprint Bucket: Seq 05,Session 11 (Mar 19); Session 12 (Mar 24)
Training Management,Training Proof,Turn training into executive proof,"Surface yearly hours delivered, customer summaries, and proof-letter generation",Support the researched bargaining-chip use case,Training Analytics,Training records and report templates,8,Sprint 19,Phase 4 - Field Operations & Asset Delivery,P0,Teams can show credible training totals for any account,Legacy Sprint Bucket: Seq 05,
Training Management,Training Proof,Turn training into executive proof,Build training proof letter generation,"Auto-generate customer training summary PDF: hours by type, completion dates, trainer name, programme name; downloadable by BD and TM; for executive and customer proof",Proof Engine,Training records and reporting model,8,Sprint 20,Phase 4 - Field Operations & Asset Delivery,P0,Training proof letter generates in under 10 seconds for any customer; approved by Adrienne in UAT,Session 8: Adrienne confirmed training proof letter is the critical executive deliverable. | Legacy Sprint Bucket: Seq 05,Session 8
Consignment Management,Audit Cycle,Enforce the 90-day operating rhythm,Build 5-day PO clock timer,After variance detected in reconciliation: 5-business-day countdown starts; reminder at day 3; auto-escalate to RD and CSR at day 5 if no PO created; log all events,PO Recovery,Reconciliation workflow and notification engine,8,Sprint 20,Phase 4 - Field Operations & Asset Delivery,P0,PO clock starts within 1 minute of variance event; escalation fires at exactly 5 business days with no manual trigger,Follow-up escalation starts only after reconciliation states are live and verified. | Legacy Sprint Bucket: Seq 05,Session 6 (Feb 27)
Mobile Field App,Offline Reliability,Keep the app usable without connectivity,"Cache assignments, records, and assets with sync queues",Resolve updates when the device reconnects,Offline Sync,Mobile foundation and API contract,13,Sprint 20,Phase 4 - Field Operations & Asset Delivery,P0,Users can work offline and sync safely later,Legacy Sprint Bucket: Seq 05,
Reports & Analytics,Priority Reports,Deliver the five approved report families,Build warranty and support report,Claims by product type; replacement rate; open vs closed status; product category breakdown; TM and regional aggregation; period filters,Warranty Report,Activity taxonomy and reporting semantic layer,8,Sprint 20,Phase 4 - Field Operations & Asset Delivery,P0,Warranty report matches session 8 spec; product breakdown and replacement rate visible; confirmed by CG in UAT,Session 8 (Mar 5): Warranty/support is explicitly the 5th priority report family per CG consensus. | Legacy Sprint Bucket: Seq 05,Session 8 (Mar 5)
Reports & Analytics,Report Builder,Make reporting self-serve,"Build a dynamic report builder with field picker, filters, date logic, and saved views",Let non-technical users create reports without engineering,Report Builder,Reporting semantic layer,13,Sprint 20,Phase 4 - Field Operations & Asset Delivery,P0,Users can build and save ad hoc reports independently,Legacy Sprint Bucket: Seq 05,
Reports & Analytics,Report Builder,Enable flexible self-service analysis,Build arbitrary parameter report UI,"Report parameter panel supporting free combination of territory, TM, affinity group, period, product category, and lead stage without pre-building every variant; server-side query generation",Parameter UI,Reporting semantic layer,13,Sprint 20,Phase 4 - Field Operations & Asset Delivery,P0,Any valid parameter combination returns correct results in under 10 seconds; invalid combinations show friendly error,Session 8: Michelle said current CRM makes flexible report combinations impossible; this is a top adoption driver. | Legacy Sprint Bucket: Seq 05,Session 8
Reports & Analytics,Role Dashboards,Support finance and operations readiness decisions,Build Finance & Ops readiness dashboard,"Show signed CIS routing, finance queue aging, blocked setup, and first-order readiness",Finance & Ops Readiness,Metric governance and onboarding workflow,8,Sprint 21,"Phase 5 - Reporting, Cutover & Launch",P0,"Finance and ops users can see pending handoffs, SLA pressure, and blocked accounts in one view",Explicitly called out in the March 24 reporting discussion. | Legacy Sprint Bucket: Seq 05,Session 12 (Mar 24)
Reports & Analytics,Role Dashboards,Give TMs a daily operating dashboard,Build TM territory dashboard,"Show territory activity, stale training cadence, account follow-up pressure, and consignment exceptions",TM Territory Dashboard,"Metric governance, territory model, and activity taxonomy",5,Sprint 21,"Phase 5 - Reporting, Cutover & Launch",P0,TM users can monitor their territory performance and exception workload from one view,Meeting-backed dashboard for field management and coaching. | Legacy Sprint Bucket: Seq 05,Session 12 (Mar 24)
Reports & Analytics,Role Dashboards,Give RDs a subordinate rollup view,Build RD rollup dashboard,"Show subordinate territory health, intervention cues, training pressure, and consignment exception rollups",RD Rollup Dashboard,Metric governance and TM territory metrics,5,Sprint 21,"Phase 5 - Reporting, Cutover & Launch",P0,RD users can review subordinate TM performance and decide where intervention is needed,Supports the regional leadership view called out repeatedly in the meetings. | Legacy Sprint Bucket: Seq 05,Session 12 (Mar 24)
Reports & Analytics,Template Reports,Deliver the executive approval-gate reports,Build TM Sales YoY and territory sales views,Support time comparison and leaderboards,Template Reports,Reporting model,8,Sprint 21,"Phase 5 - Reporting, Cutover & Launch",P0,TM sales reports are usable without custom setup,Legacy Sprint Bucket: Seq 05,
Reports & Analytics,Template Reports,Deliver the executive approval-gate reports,Build affinity group sales and market penetration reports,Show served versus total-member opportunity,Template Reports,Reporting model and affinity master data,8,Sprint 21,"Phase 5 - Reporting, Cutover & Launch",P0,Teams can see performance and penetration by affinity group,Legacy Sprint Bucket: Seq 05,
Reports & Analytics,Template Reports,Deliver the executive approval-gate reports,Build leads-to-revenue and lead performance reports,"Show status, source, state, TM, and conversion outcomes",Template Reports,Lead model and order linkage,8,Sprint 21,"Phase 5 - Reporting, Cutover & Launch",P0,Lead reporting ties funnel activity to revenue outcomes,Legacy Sprint Bucket: Seq 05,
Reports & Analytics,Template Reports,Deliver the executive approval-gate reports,"Build training-hours reports by customer, TM, and type",Support bargaining proof and internal management,Template Reports,Training records,8,Sprint 21,"Phase 5 - Reporting, Cutover & Launch",P0,Training hours are reportable at all required cut levels,Legacy Sprint Bucket: Seq 05,
Reports & Analytics,Template Reports,Deliver the executive approval-gate reports,Build product mix and revenue composition reports,Expose category concentration and mix shifts,Template Reports,Product and order facts,8,Sprint 21,"Phase 5 - Reporting, Cutover & Launch",P0,Product mix can be analyzed over time and by segment,Legacy Sprint Bucket: Seq 05,
Reports & Analytics,KPI Governance,Keep dashboards and exported reports consistent,"Load KPI baseline packs and build lineage/reconciliation testing across dashboards, builder outputs, and exports","Import approved baseline KPI outputs and validate source lineage, filter logic, aggregation, freshness, and tolerance against reference queries.",KPI Reconciliation,"Build a reporting semantic layer spanning CRM, dealer, training, consignment, and ERP facts and Publish a metric definition register",8,Sprint 21,"Phase 5 - Reporting, Cutover & Launch",P0,"Historical baseline KPI packs are loaded and released KPIs have reconciliation evidence across dashboards, saved reports, schedules, and exports.",MIG-022 | Release 4 reporting baseline migration | Legacy Sprint Bucket: Seq 05,Session 12 (Mar 24); Post-discovery migration alignment (2026-03-31)
Executive Dashboard,Consignment Pulse,Give leadership a live consignment readout,"Show active sites, audit status, value at risk, and overdue actions",Elevate the program beyond spreadsheets,Consignment Widgets,Consignment dashboard,5,Sprint 22,"Phase 5 - Reporting, Cutover & Launch",P0,Executives can assess consignment exposure at a glance,Legacy Sprint Bucket: Seq 05,
Executive Dashboard,Executive KPI Framework,Give leadership one trusted command center,Compose the executive dashboard from governed report components,Ensure every KPI traces to the same reporting model,Executive Dashboard,Reporting semantic layer,8,Sprint 22,"Phase 5 - Reporting, Cutover & Launch",P0,Dashboard KPIs match report outputs exactly,Legacy Sprint Bucket: Seq 05,
Executive Dashboard,Funnel Health,Expose pipeline quality,"Surface lead funnel status, aging, and conversion signals",Highlight risk in the pipeline,Pipeline Widgets,Lead reporting and SLA engine,5,Sprint 22,"Phase 5 - Reporting, Cutover & Launch",P0,Leaders can see stage health and stalled lead volume,Legacy Sprint Bucket: Seq 05,
Executive Dashboard,Revenue Monitoring,Track top-line movement clearly,"Show this month, last month, and same month last year revenue",Make growth or decline obvious,Revenue Cards,Executive KPI framework,5,Sprint 22,"Phase 5 - Reporting, Cutover & Launch",P0,Revenue cards compare the three researched periods,Legacy Sprint Bucket: Seq 05,
Executive Dashboard,Training Proof,Put training value in front of executives,"Show YTD training hours, prior-year comparison, and summary access",Make the training value proposition visible,Training Widgets,Training reports,5,Sprint 22,"Phase 5 - Reporting, Cutover & Launch",P0,Executives can see training contribution without running a report,Legacy Sprint Bucket: Seq 05,
"QA, UAT, Rollout & Adoption",Business Rule Testing,Validate the rules that matter most,"Create test packs for service-tech routing, SLA timers, credit workflow, company-order visibility, and consignment audit cycle",Prioritize approval-gate logic from discovery,QA Packs,Quality strategy,8,Sprint 22,"Phase 5 - Reporting, Cutover & Launch",P0,Critical business rules are tested with explicit expected outcomes,Legacy Sprint Bucket: Seq 05,
"QA, UAT, Rollout & Adoption",Role-Based UAT,Get the right users validating the right flows,"Run UAT for admins, TMs, RDs, VPs, CSRs, and dealer contacts",Match testing to actual operating roles,UAT,Quality strategy and role matrix,8,Sprint 22,"Phase 5 - Reporting, Cutover & Launch",P0,Each role signs off the workflows they own,Legacy Sprint Bucket: Seq 05,
"QA, UAT, Rollout & Adoption",Pilot Governance,Control pilot-to-GA progression,"Define pilot cohorts, success metrics, and GA go-no-go gate","Name the pilot cohort, entry criteria, exit metrics, defect thresholds, and approvals required before broad rollout",Pilot Governance,"UAT, reconciliation, role training, and support model",8,Sprint 22,"Phase 5 - Reporting, Cutover & Launch",P0,"Pilot cohort, success metrics, defect thresholds, and GA approval criteria are approved before broad rollout",Makes pilot exit explicit instead of relying on generic release buffers. | Legacy Sprint Bucket: Seq 05,
"QA, UAT, Rollout & Adoption",Operational Resilience,Prove recovery paths before broad rollout,"Run resilience and failover drills across queues, auth, storage, reporting jobs, and alert delivery","Exercise failure and recovery for queue workers, auth services, storage, report jobs, alert engine, and integration recovery paths with documented timings and owners",Resilience Drills,"Show sync status, errors, retries, dead-letter items, and exception queues and Define kill-switch and rollback matrix by module",8,Sprint 22,"Phase 5 - Reporting, Cutover & Launch",P0,"Teams complete resilience drills with evidence for failover timing, recovery ownership, and acceptable degraded-mode behavior",Closes the missing resilience/failover testing called out in technical validation. | Legacy Sprint Bucket: Seq 05,Post-discovery roadmap validation (2026-03-30)
"QA, UAT, Rollout & Adoption",Operational Resilience,Tie production support to explicit thresholds,Define service thresholds and Sev-based operational response,"Set latency, queue-depth, sync-failure, report-job, and alert-delivery thresholds with Sev triggers, response actions, and ownership tiers",Operational SLA Model,"Stand up issue triage, daily review, and resolution ownership for early launch weeks",5,Sprint 22,"Phase 5 - Reporting, Cutover & Launch",P0,"Support and engineering teams have agreed service thresholds, Sev triggers, and response rules before GA widening",Turns generic support readiness into explicit service-threshold governance. | Legacy Sprint Bucket: Seq 05,Post-discovery roadmap validation (2026-03-30)
"QA, UAT, Rollout & Adoption",Release & Stabilization,Seq 05 - Release Buffer,"Complete integrated UAT, defect triage, and release-candidate sign-off","Run integrated UAT, consolidate defects, and approve the release candidate",Testing & Release,Seq 05 features complete,34,Sprint 23,"Phase 5 - Reporting, Cutover & Launch",P0,"Integrated UAT completed, priority defects triaged, and release candidate approved for deployment rehearsal",Split from original 89 SP Seq 05 release buffer to create sprint-sized deployment work. Legacy Sprint Bucket: Seq 05-Buffer,
"QA, UAT, Rollout & Adoption",Release & Stabilization,Seq 05 - Release Buffer,"Execute final migration rehearsal, cutover readiness, smoke validation, and rollback checks","Validate final delta logic, migration runbook, cutover checklist, smoke tests, and rollback readiness.",Testing & Release,"Complete integrated UAT, defect triage, and release-candidate sign-off",34,Sprint 23,"Phase 5 - Reporting, Cutover & Launch",P0,"Final migration rehearsal passes, cutover checklist is signed off, smoke tests are green, and rollback checks are completed.",Final rehearsal covers MIG-023 / MIG-024 and full cutover package. Legacy Sprint Bucket: Seq 05-Buffer,Post-discovery migration alignment (2026-03-31)
"QA, UAT, Rollout & Adoption",Release & Stabilization,Seq 05 - Release Buffer,Run post-launch stabilization window and confirm go-live exit criteria,"Monitor launch health, close critical incidents, and secure exit approval",Testing & Release,"Execute deployment rehearsal, cutover readiness, smoke validation, and rollback checks",21,Sprint 24,"Phase 5 - Reporting, Cutover & Launch",P0,"Launch KPIs stable, critical issues resolved, and go-live exit criteria formally approved",Split from original 89 SP Seq 05 release buffer to separate stabilization from rehearsal and cutover. Legacy Sprint Bucket: Seq 05-Buffer,
"QA, UAT, Rollout & Adoption",Hypercare,Support the first live operating period,"Stand up issue triage, daily review, and resolution ownership for early launch weeks","Define L1/L2/L3 ownership, severity matrix, command-center cadence, escalation paths, and defect review rituals for pilot and launch weeks",Hypercare,Pilot gate and cutover plan,8,Sprint 24,"Phase 5 - Reporting, Cutover & Launch",P0,"Pilot and launch weeks run with named support tiers, severity targets, daily triage, and escalation paths",Must be operational before pilot starts. | Legacy Sprint Bucket: Seq 05-Buffer,
"QA, UAT, Rollout & Adoption",Training & SOPs,Prepare the organization to adopt the platform,"Deliver role-based training, SOPs, and admin runbooks","Train admins, sales, ops, finance, TM/RD, and dealer-support owners before pilot; publish SOPs, support runbooks, and role cheat sheets",Enablement,"UAT feedback, approved workflows, and pilot cohort",8,Sprint 24,"Phase 5 - Reporting, Cutover & Launch",P0,Pilot users and support owners complete role training and receive role-specific SOPs and runbooks before rollout,Pulled earlier so enablement is ready before pilot and GA gates. | Legacy Sprint Bucket: Seq 05-Buffer,
Mobile Field App,Offline Reliability,Keep the app usable without connectivity,Build offline data conflict review on reconnect,When mobile reconnects after offline session: present sync conflicts to user for resolution; no silent overwrites; conflict log retained for 7 days; user resolves before data merges,Conflict Resolution,Mobile offline sync,8,Sprint 24,"Phase 5 - Reporting, Cutover & Launch",P0,Conflicts surfaced on reconnect with clear resolution UI; zero silent overwrites confirmed in UAT,RAID-009: Offline merge behavior is an adoption risk. Field areas have no connectivity. | Legacy Sprint Bucket: M-Seq 04,
Mobile Field App,Offline Reliability,Prioritize offline sync by data importance,Build offline sync queue with priority levels,"5 priority levels: check-in (max 48h offline), activity logs (72h), voice notes (72h), photos (7d), cached data (24h); process highest priority first on reconnect",Offline Sync,Mobile foundation and offline framework,5,Sprint 24,"Phase 5 - Reporting, Cutover & Launch",P0,"On reconnect, check-ins sync before photos; expired items (beyond max age) are flagged for user review; sync order is auditable",Addresses PRD Supplement Part D sync queue priority. | Legacy Sprint Bucket: M-Seq 04,
